               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.016047,            0.014257,          0.00066965,             0.90163,             0.82296,             0.88112,             0.59557,            0.022344,            0.019281,           0.0024542,            0.002872,            0.002872,            0.002872
                 146,            0.015345,            0.013824,          0.00051947,             0.89744,             0.83382,             0.87788,             0.59843,            0.022356,            0.019342,           0.0030619,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015622,            0.013707,          0.00043913,             0.88741,             0.82563,             0.88351,             0.60355,            0.022294,            0.019239,           0.0025071,            0.002773,            0.002773,            0.002773
                 148,             0.01508,            0.013144,          0.00049385,             0.91002,             0.81526,             0.88348,              0.6005,             0.02232,            0.019299,           0.0027339,           0.0027235,           0.0027235,           0.0027235
                 149,            0.015074,            0.013706,          0.00049506,             0.90724,             0.80776,             0.87979,             0.60423,            0.022275,            0.019366,           0.0031411,            0.002674,            0.002674,            0.002674
                 150,            0.015643,            0.013737,          0.00054787,             0.90565,             0.79949,             0.88147,             0.59723,            0.022394,            0.019407,           0.0027436,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015529,            0.013641,          0.00053522,             0.87483,             0.83825,             0.88562,             0.60368,             0.02216,            0.019289,           0.0026459,            0.002575,            0.002575,            0.002575
                 152,            0.014599,            0.014145,          0.00047501,             0.87589,             0.83747,             0.88934,             0.60021,            0.022674,            0.019695,           0.0027094,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014741,            0.012996,          0.00053635,             0.86825,             0.84342,              0.8836,             0.59101,            0.022572,            0.019684,           0.0029342,            0.002476,            0.002476,            0.002476
                 154,            0.015037,            0.013374,          0.00049679,             0.88718,             0.83712,             0.88909,             0.60079,            0.022381,             0.01932,           0.0025939,           0.0024265,           0.0024265,           0.0024265
